Faculty Name,Profile Interests,Categories,All Keywords
Scott Todaro,,"Leadership & Organizational Development, Technology","Career Development, Data-Driven Exercises, Digital Learning Platforms, Digital Pedagogies, Entertainment Industry, Ethics of Meaningful Work, Executive Education, Film-Centered Pedagogy, Leadership Development, Meaningful Work, Media Industry, Meta-Analysis, Organizational Behavior, Pro-Environmental Behavior, Strategy Consulting, Work as a Calling"
Sebastian Fixson,"Design Thinking, Development, Innovation, Operations Management, Product Design, Corporate Entrepreneurship","Entrepreneurship, Healthcare, Innovation & Strategy, Law, Operations, Technology","Corporate Entrepreneurship, Design Thinking, Design Thinking Methodology, Digital Design Tools, Digital Transformation, Ethical Design, Healthcare Innovation, Innovation Management, Innovation Process Governance, Innovation Workforce Skills, Manufacturing Systems, Open Innovation Challenges, Operations Management, Problem Identification Framework, Product Design and Development, Simulation-based Learning, Software Development, Start-up Operations"
Shannon Mooney,,"Humanities & Cultural Studies, Technology","Affective Historiography, Affective Media Analysis, American Studies, Cultural Geography, Curriculum Development, Digital Archival Analysis, Digital Sound Studies, Educational Program Assessment, Media Cultural Geographies, Multiethnic U.S. Literature, Qualitative Content Analysis, Rhetoric and Composition, Rhetorical Analysis, Sonic Analysis, Sonic Whiteness Studies, Writing Center Pedagogy, Writing Center Studies"
Sharon Sinnott,,"Artificial Intelligence, Entrepreneurship, Leadership & Organizational Development, Technology","AI Speech Analytics, Audience Analysis, Business Communication, Communication Assessment, Corporate Communication, Corporate Training Programs, Digital Communication Platforms, Entrepreneurship Education, Executive Coaching, Higher Education Instruction, Online Public Speaking Education, Presentation Skills Training, Public Speaking, Rhetorical Analysis, Speech Coaching Techniques, Speech Communication, Speech Consulting Services, Virtual Presentation Technologies"
Sinan Erzurumlu,"Business Model Innovation, Commercialization, Decision Making Under Uncertainty, Environmental, Governance (Esg), Growth, Machine Learning, Scaling Businesses, Social Innovation, Social, Strategic Innovation Management, Sustainable Entrepreneurship, Systems Thinking, Technology Development, Technology Entrepreneurship, Artificial Intelligence","Artificial Intelligence, Entrepreneurship, Innovation & Strategy, Law, Operations, Sustainability, Technology","Aging Innovations, Artificial Intelligence, Business Model Innovation, Configurational Analysis, Environmental Social Governance, Innovation Management, Machine Learning, Manufacturing Operations, Operations Management, Service Operations, Social Innovation, Startup Scaling, Sustainability, Sustainable Development Goals, Sustainable Goods, Systems Thinking, Technology Entrepreneurship"
Spencer Adams,"Corporate Finance, Investment Banking, Mergers, Acquisitions","Finance, Finance & Economics, Technology","Capital Markets, Capital Structure Analysis, Corporate Finance, Corporate Restructuring, Deal Structuring, Debt Financing, Discounted Cash Flow, Equity Financing, Financial Modeling, Investment Banking, IPO Advisory, Mergers and Acquisitions, Private Equity, Risk Assessment, Valuation Modeling"
Stephen Bauer,"Composition, Creative Writing, Literature, Business Writing",Humanities & Cultural Studies,"Academic Publishing, Business Communication, Business Writing, Close Reading, Composition Studies, Creative Nonfiction, Creative Pedagogy, Creative Writing, Critical Inquiry, Higher Education, Interdisciplinary Storytelling, Literary Analysis, Magazine Editing, Place-Based Narratives, Practice-Based Research, Textual Analysis, Workshop Facilitation"
Stephen Brand,"Ecosystem Building, Entrepreneurship, International Trade, Design Thinking","Entrepreneurship, Entrepreneurship & Small Ventures, Marketing, Technology","Business Model Innovation, Cross-Cultural Entrepreneurship, Data-Driven Ecosystem Assessment, Design Thinking, Design Thinking Methodology, Ecosystem Assessment, Ecosystem Capacity Building, Emerging Markets Entrepreneurship, Entrepreneurial Ecosystems, Entrepreneurship Education, Entrepreneurship for International Development, Entrepreneurship Strategy, Executive Education, Innovation Management, International Entrepreneurship, Middle East Entrepreneurship, Private Enterprise Promotion, Venture Development"
Stephen Holley,,Humanities & Cultural Studies,"Classical Bass Performance, Commercial Music Industry, Commercial Music Production, Ensemble Direction, Jazz Performance, Live Performance Sector, Live Sound Engineering, Music Broadcasting, Music Education, Music Learning and Teaching, Music Pedagogy, School Based Music Programs, Studio Recording Techniques"
Stephen Lanzendorf,,"Artificial Intelligence, Finance, Finance & Economics, Sustainability, Technology","Alternative data analytics, Equity investing, ESG integration, Fintech applications, Institutional asset management, Institutional finance, Investment management, Machine learning finance, Mutual funds, Pension fund investing, Performance attribution, Portfolio management, Portfolio optimization, Quantitative modeling, Risk management, Wealth management"
Stephen Muscolino,"Contemporary American Fiction, Media, Postmodern Literature, Rhetorical Studies & Public Communication, Tech Culture & Social Media Studies, Communications & International Journalism","Humanities & Cultural Studies, Marketing, Technology","carceral media studies, civic engagement, civic engagement initiatives, contemporary American fiction, content analysis, criminal justice reform, critical discourse analysis, critical literary theory, cultural digitization, digital archiving, digital civic engagement, digital humanities, digital media industries, digital media studies, participatory action research, prison education programs, social media justice, social media theory, writing pedagogy"
Steven Feinstein,"Derivatives, Forensic Finance, Investments, Corporate Valuation","Accounting, Finance, Law, Law & Governance, Technology","Complex Business Litigation, Corporate Valuation, Derivative Instruments, Derivatives Valuation Modeling, ERISA Litigation Analysis, Event Study Methodology, Financial Consulting, Fixed Income Securities, Forensic Accounting Methods, Forensic Finance, Investment Analysis, Pandemic Market Volatility, Quantitative Risk Analysis, Securities Fraud Analytics, Securities Litigation, Volatility Regime Modeling, Yield Burning Analysis"
Steven Gordon,"Blockchains, Case, Computer, Cryptocurrency, Information Security, Social Media, Based Research","Data, Economics, Finance, Operations, Operations & Supply Chain, Technology","Airline Industry, Blockchain for Social Movements, Blockchain Technology, Case-Based Research, Central Bank Digital Currencies, Cryptocurrency Economics, Diamond Industry, Digital Ledger Technology, Digital Platforms, Economic Analysis, Financial Services, Game Theoretic Modeling, Information Systems, Multi-Sided Platform Strategies, Social Movement Studies, Stablecoins, Supply Chain Management, Systemic Risk Modeling"
Susan Losapio,,"Accounting, Finance, Law, Law & Governance, Sustainability, Technology","Analytical Review, Audit Committee Oversight, Auditing Practice, Auditor Liability Assessment, Behavioral Accounting, Cognitive Bias Mitigation, Corporate Governance, Earnings Management Detection, Error-Management Climate, Experimental Design, Financial Accounting, Financial Disclosure, Heuristic Analysis, Information Contagion, Management Accounting, Quantitative Analysis"
Talmai Oliveira,"As Well As Out, Box Web3 Applications. Excels At Designing Large, Building Thriving, Byzantine Distributed Networks, Culture, End System Architecture With Multiple Stakeholders, Globally Connected Teams. Excited About Developing Transformational Digital Innovations Based On Decentralized Ownership, High, Highly Complex Systems With An Exceptional Talent For Driving End, Passionate About Communication, Rate Message Propagation, Scale, The, User Insights. Deeply Involved With Blockchain Consensus Protocols, Advanced Analytics","Finance, Law, Leadership & Organizational Development, Technology","Blockchain Payment Networks, Blockchain Protocols, Blockchain Scalability, Blockchain-Enabled Games, Data Privacy, Data-Driven Services, Decentralized Finance, Distributed Ledger Technology, Distributed Systems, Fault Tolerance Methods, Fault-Tolerant Computing, Internet of Things, IoT Applications, IoT Security, NFT Trading Platforms, Privacy-Preserving IoT, Smart Contract Development, Software Architecture, Wireless Communication Systems, Wireless Networking"
Terence Reilly,"Finance, Math, Sciences, Simulations In Financial Risk Analysis, Applied Statistics","Finance, Finance & Economics, Technology","Applied Statistics, Banking Industry, Business Analytics, Computational Risk Analytics, Copula Modeling, Corporate Finance, Data-Driven Decision Making, Decision Analysis, Decision Trees, Finance, Financial Risk Analysis, Financial Simulation Analytics, Insurance Risk Management, Monte Carlo Simulation, Multivariate Distributions, Risk Analysis, Sensitivity Analysis, Simulation Modeling, Structural Equation Modeling"
Thomas Davenport,,"Artificial Intelligence, Data, Finance, Healthcare, Marketing, Operations & Supply Chain, Technology","AI-driven Leadership, Artificial Intelligence, Big Data Analytics, Business Analytics, Cognitive Analytics, Data Science, Decision Automation, Digital Transformation, Digital Workforce, Financial Services Analytics, Generative AI, Grassroots Automation, Healthcare Analytics, HR Analytics, Information Technology Management, Machine Learning, Manufacturing Analytics, Marketing Analytics, MLOps, Predictive Analytics, Robotic Process Automation, Sports Analytics"
Thomas Greenaway,,"Accounting, Law, Law & Governance","Case Law Analysis, Curriculum Innovation, Dispute Resolution Practice, Federal Income Tax, Government Tax Agencies, International Income Tax, International Tax Enforcement, Management Education, Maternal Optimism, Organizational Behavior, Public Accounting Firms, Qualitative Research, Regulatory Analysis, Survey Research, Tax Advisory Services, Tax Controversy Resolution, Tax Litigation Procedure, Work-Life Transitions"
Timothy Habbershon,"Family Business, Succession In Business, Entrepreneurship","Entrepreneurship, Finance, Innovation & Strategy, Technology","Business Succession, Case Study Methodology, Digital Transformation in Family Firms, Entrepreneurship, Family Business, Family Business Resilience, Family-Owned Businesses, Financial Services Sector, Intergenerational Entrepreneurship, Mutual Fund Management, Retirement Savings Plans, Socioemotional Wealth, Strategic Management, Succession Planning Frameworks, Survey Research Methods"
Tina Opie,Organizational Behavior,"Healthcare, Leadership & Organizational Development","Collective Power Dynamics, DEI Training Initiatives, Diversity and Inclusion, Employee Engagement, Employee Wellness Programs, Experimental Design, Field Experiments, Group Dynamics, Health-Centric Diversity, Inclusive Leadership Development, Organizational Behavior, Peripheral Member Inclusion, Qualitative Interviews, Social Network Analysis, Survey Methodology, Team Engagement Strategies, Woke Diversity Strategies, Workplace Discrimination"
Tony Okoromadu,,"Economics, Finance, Finance & Economics, Technology","Automotive Industry, Business Consulting, Business Strategy, Case Study Method, Corporate Finance, Data Deployment, Development Economics, Economic Development, Executive Education, Experiential Learning, Financial Modeling, Hybrid Learning Models, Inclusive Business Practices, International Business, Linear Systems Solver, Managerial Economics, Market Intelligence, Nonprofit Management, Sustainable Finance"
Tyler Hauth,,Leadership & Organizational Development,
Uruppattur Rangan,"Economic Development, Global Strategy, National Competitiveness Strategy, Strategic Alliances, Competitive Strategy","Innovation & Strategy, Law, Retail, Technology","Anti-competitive Market Distortions, Antitrust Regulation, Case Study Research, CEO Vulnerability Modeling, Comparative Analysis, Competitive Strategy, Conceptual Framework Development, Digital Economy, Digital Platform Markets, Economic Development, Food Retail Industry, Global Strategy, Manufacturing Sector, National Competitiveness Strategy, Platform Regulation, Qualitative Research Methods, Quick Service Restaurants, Software Industry, Strategic Alliances"
Vicky Zhu,,"Artificial Intelligence, Data, Operations & Supply Chain, Technology","Applied Mathematics, Biologically-plausible Networks, Business Intelligence, Causal Inference, Computational Modeling, Computational Neuroscience, Data Science, Machine Learning, Natural Language Modeling, Neural Dynamics Modeling, Neuro-inspired Machine Learning, Predictive Business Analytics, Recurrent Neural Networks, Reinforcement Learning, Reparameterization Techniques, Statistical Consulting, Statistical Inference"
Victor Seidel,"Online Design Communities, Product Design, Development","Entrepreneurship, Innovation & Strategy, Marketing, Technology","Continuous Innovation, Crowd-Based Innovation, Crowdsourcing, Design Process, Design Space Exploration, Digital Innovation Platforms, Innovation Management, Innovation Networks, Network Analysis, Online Community Engagement, Open Innovation, Product Design, Product Marketing, R&D Management, Semiconductor Devices, Social Media Analysis, Start-up Innovation, Technological Framing, Technology Management"
Victoria Crittenden,"Marketing Education, Marketing Strategy, Women Entrepreneurship, Digital Disruption","Entrepreneurship, Marketing, Marketing & Consumer Behavior, Retail, Sustainability, Technology","Case Study Research, Consumer Behavior, Digital Disruption, E-commerce Sales, Emerging Economies, Entrepreneurship Theory, Gig Economy, Influencer Campaigns, Influencer Marketing, Marketing Education, Microentrepreneurship, MOOC Platforms, Public Affairs, Qualitative Analysis, Sales Management, Social Media Analytics, Strategic Marketing, Sustainability, Vignette Method, Women Entrepreneurship"
Vikki Rodgers,"Biomimicry, Botany, Climate Change, Conservation Biology, Ecology, Environmental Science, Invasive Species, Sustainability, Urban Systems, Biogeochemistry","Leadership & Organizational Development, Technology","Biogeochemical analysis, Biogeochemistry, Biomimicry design, Botanical surveying, Conservation Biology, Demographic modeling, Ecology, Environmental education, Field experiments, Four-dimensional ecology education, Green infrastructure, Socio-ecological innovation, Socio-ecological Systems, Sustainable development, Systems thinking in ecology, Urban Ecology, Urban planning"
Vincent Onyemah,"Customer Acquisition, Entrepreneurial, Franchising, Growing, Persuasion, Professional Selling, Revenue Generation & Management, Sales Force Management, Sales, Scaling Businesses, Selling To Women, Business Development","Entrepreneurship, Leadership & Organizational Development, Marketing, Technology","Bank Marketing, Case Study Analysis, Cross-Cultural Research, Digital Sales Enablement, Ecosystem-Based Scaling, Entrepreneurial Selling, Entrepreneurship Ecosystems, Executive Education, Field Experimentation, Franchising, Gender-Specific Selling, Inclusive Entrepreneurship, Marketing Management, Pandemic Resilience Strategies, Professional Selling, Revenue Management, Sales Force Management, SME Growth Interventions, Survey Research, Virtual Sales Analytics"
Virginia Rademacher,"Cultural Studies, Film Noir, Global Film, Hardboiled Detective Fiction, Hispanic Literature, New Narrative Formats Such As The Contemporary Surge In Auto, Biographical Fiction","Finance, Humanities & Cultural Studies, Technology","Biofiction Studies, Biographical Fiction, Cultural Analysis, Cultural Institutions, Digital Narratives, Film Studies, Genre Analysis, Higher Education, Hispanic Literature, Interdisciplinary Research, Literary and Cultural Studies, Narrative Analysis, Narrative Theory, Political Biofictions, Post-Truth Narratives, Publishing Industry, Qualitative Content Analysis, Speculative Risk Theory, Video Game Industry"
Vivian Leung,,"Leadership & Organizational Development, Retail, Sustainability","Aquatic ecology, Channel dynamics, Climate change impacts, Dam removal assessment, Ecohydrology, Environmental geology, Environmental impact assessment, Fieldwork surveys, Fluvial geomorphology, GIS mapping, Hydrologic monitoring, Nature-based solutions, Physical flume experiments, River habitat restoration, River restoration, Socio-ecological systems, Water resource management"
Wanyi Wang,,"Artificial Intelligence, Finance, Finance & Economics, Marketing, Technology","AI in finance, Behavioral finance, Capital markets, Earnings call analysis, Econometric modeling, Empirical asset pricing, Empirical finance, Financial services, Financial technology, Machine learning, Mutual fund analysis, Natural language processing, Textual analysis"
Wendy Jeffus,"Corporate Finance, International Finance, Mergers, Regulated Industries, Acquisitions","Finance, Finance & Economics, Law, Technology","Banking Sector, Case Study Analysis, Corporate Finance, Currency Risk Management, Depository Receipts, Event Study Methodology, Financial Modeling, Financial Regulation, Initial Public Offerings, International Finance, Investment Banking, Latin American Markets, Mergers and Acquisitions, Regression Analysis, Regulated Industries"
Wendy Murphy,"Leadership, Life Interface, Mentoring, Negotiations, Work, Developmental Networks","Entrepreneurship, Healthcare, Leadership & Organizational Development","Career Development, Career Well-Being, Case Study Method, Corporate Mentoring Programs, Developmental Networks, Diversity and Inclusion, Executive Education, Healthcare Innovation, Informal Mentoring Networks, Leadership, Mediation Analysis, Mentoring, Mixed Methods, Negotiation, Organizational Behavior, Reverse Mentoring, Small Business Development, Social Network Analysis, Women’s Leadership Training, Work-Life Interface"
Weston Miller,"Creative Writing, Composition","Artificial Intelligence, Humanities & Cultural Studies, Law, Marketing, Technology","Advertising Copywriting, AI-assisted Writing, Composition Studies, Content Strategy, Corporate Communications, Creative Writing, Digital Humanities, Digital Storytelling, Discourse Analysis, Interdisciplinary Narrative, Legal Writing, Literary Analysis, Narrative Inquiry, Qualitative Methods, Rhetoric and Writing, Textual Analysis, Writing Pedagogy"
Wiljeana Glover,"Healthcare Systems Innovation, Improvement, Problem Solving, Scaling Operations, Experimentation","Entrepreneurship, Healthcare, Innovation & Strategy, Operations","compassion-centric organizations, equity-centered quality improvement, experiential learning, global health, global health innovation labs, global health programs, health entrepreneurship ecosystems, health venture labs, healthcare education, healthcare entrepreneurship, healthcare innovation, healthcare operations, healthcare start-ups, hospital operations, implementation science, inclusive practice frameworks, lean methodology, operations management, process improvement, quality improvement, revenue cycle management, systems engineering, systems thinking"
William Gartner,,"Entrepreneurship, Entrepreneurship & Small Ventures","adolescent entrepreneurship, community of practice analysis, entrepreneurial practices, family business research, family business succession, family entrepreneuring, family entrepreneurship, fiction and entrepreneurial imagination, fiction-based methodologies, intergenerational legacy transmission, legacy management, narrative analysis, qualitative case study, rural entrepreneurship, rural tourism development, succession studies, systematic literature review"
William Huss,"Comparative Politics, Decision Analysis, Forecasting, Operations Research, Quantitative Methods, Applied Statistics","Data, Economics, Operations, Operations & Supply Chain, Technology","Applied Statistics, Business Analytics, Comparative Politics, Computational Social Science, Corporate Decision Support, Data-Driven Policymaking, Decision Analysis, Forecasting, Government Decision Support, Operations Research, Optimization Techniques, Predictive Analytics, Predictive Business Analytics, Public Policy Analysis, Quantitative Methods, Statistical Modeling, Time Series Analysis"
William LaPoint,"Entrepreneurship, Finance, Mergers, Venture Capital, Acquisitions","Entrepreneurship, Finance, Finance & Economics, Technology","Blockchain Funding, Capital Structuring, Corporate Mergers, Crowdfunding Platforms, Deal Sourcing, Due Diligence, Entrepreneurial Finance, Entrepreneurship, Financial Modeling, Fintech Finance, Growth Equity Investing, Impact Investing, Mergers and Acquisitions, Private Equity, Small Business Acquisition, Startup Financing, Valuation Analysis, Venture Capital"
William Mayborn,"Bureaucracy, Causes Of War, Chinese Politics, Coercion, Comparative Politics: Civil, Insurgencies, International Security: Deterrence, Military Relations, North Korean Politics, Political Violence, Alliances","Economics, Finance, Innovation & Strategy, Operations, Technology","Alliance politics, Asia-Pacific security, Case study analysis, Civil–military relations, Comparative politics, Counterinsurgency operations, Defense policy, Drone warfare, Game theory modeling, Geopolitical risk assessment, Hybrid warfare, International security, Military strategy, Political violence, Qualitative content analysis, Statistical data analysis, Strategic stability, Unmanned aerial vehicles"
Xinghua Li,"Comparative Media, Consumer Culture, Critical Cultural Theory, Ecocriticism, Environmental Communication, Environmental Issues, Global, Sustainability, Advertising","Humanities & Cultural Studies, Marketing, Sustainability","Advertising Practice, Calligraphy Digitization, Chinese Language Digitization, Comparative Analysis, Consumer Culture, Critical Cultural Theory, Death Drive Studies, Discourse Analysis, Eco-Fashion Marketing, Eco-Joke Analysis, Ecocriticism, Environmental Advocacy, Environmental Communication, Humor Analysis, Media and Culture, Poststructural Analysis, Psychoanalytic Criticism, Sustainability Studies, Systematized Procrastination, Wildlife Conservation Campaigns"
Yamlaksira Getachew,,"Entrepreneurship, Finance, Innovation & Strategy","Aviation industry, Business education in LDCs, Case study research, Conceptual framework development, Economic institutions, Empirical research, Entrepreneurship, Foreign direct investment, Gender enterprise performance, Inequality, Institutional voids, International business, Maritime industry, Multinational enterprises, Qualitative analysis, Social enterprise, Social enterprise poverty alleviation, Strategic management, Supranational economic institutions, Sustainable development"
Yasuhiro Yamakawa,Entrepreneurship,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Law, Technology","Behavioral Entrepreneurship, Corporate Governance, Econometric Modeling, Entrepreneurial Resilience, Entrepreneurship, Failure Learning, Informal Economy, Innovation Management, IPO Markets, Organizational Learning, Qualitative Case Study, Regression Analysis, Small Business Finance, Startup Ecosystems, Strategic Management, Survey Methodology, Survival Analysis, Uncertainty Management, Venture Capital, Venture Finance, Venture Formalization"
Yunwei Gai,"Financial Economics, Healthcare, Industrial Organization, Public Policy, Econometrics","Economics, Entrepreneurship, Finance, Finance & Economics, Healthcare, Marketing, Technology","Econometric Modeling, Econometrics, Entrepreneurial Ecosystems, Financial Economics, Financial Forecasting, Health Data Analytics, Health Economics, Health Insurance Markets, Healthcare Entrepreneurship, Healthcare Innovation, Industrial Organization, Pharmaceutical Pricing, Public Health Outcomes, Public Policy, Regression Analysis, Risk Pooling Simulation, Startup Ecosystems, Venture Capital Impact"
Zhi Li,"Information Systems, Information Technology Strategy, Data Mining","Artificial Intelligence, Data, Economics, Finance, Healthcare, Operations & Supply Chain, Technology","AI-Enhanced Healthcare Management, Cloud Computing, Cryptocurrency Economics, Cryptocurrency Markets, Data Mining, Educational Technology, Financial Services, Generative AI, Generative AI in Education, Healthcare Administration, Inclusive Practice Frameworks, Information Systems, Information Technology Strategy, Mental Health Services, Structural Topic Modeling"
